"QE(wavelength), created by Plot Digitizer, 2.4.1"
"Date: 6/8/11, 12:12:58 AM"


14
wavelength,QE
1.60582E+2,1.01728E+1
1.64658E+2,1.93580E+1
1.69898E+2,2.89383E+1
1.74993E+2,3.27901E+1
1.82125E+2,3.26914E+1
1.87802E+2,3.20000E+1
1.93624E+2,2.92346E+1
1.99884E+2,2.63704E+1
2.06579E+2,2.42963E+1
2.13712E+2,2.24198E+1
2.21281E+2,2.10370E+1
2.29578E+2,2.00494E+1
2.38457E+2,1.92593E+1
2.53595E+2,1.87654E+1
