"QE(wavelength), created by Plot Digitizer, 2.4.1"
"Date: 6/8/11, 12:09:48 AM"


14
wavelength,QE
1.60582E+2,1.25432E+1
1.64658E+2,2.22222E+1
1.69898E+2,3.21975E+1
1.74847E+2,3.56543E+1
1.82271E+2,3.48642E+1
1.87802E+2,3.37778E+1
1.93624E+2,3.08148E+1
2.00029E+2,2.74568E+1
2.06725E+2,2.51852E+1
2.13712E+2,2.32099E+1
2.21281E+2,2.18272E+1
2.29723E+2,2.04444E+1
2.38457E+2,1.95556E+1
2.53741E+2,1.88642E+1
