"QE(wavelength), created by Plot Digitizer, 2.4.1"
"Date: 6/8/11, 12:14:21 AM"


14
wavelength,QE
1.60582E+2,8.49383E+0
1.64512E+2,1.69877E+1
1.69898E+2,2.72593E+1
1.74993E+2,3.17037E+1
1.82125E+2,3.20988E+1
1.87802E+2,3.20000E+1
1.93479E+2,2.97284E+1
1.99884E+2,2.74568E+1
2.06579E+2,2.57778E+1
2.13712E+2,2.39012E+1
2.21281E+2,2.24198E+1
2.29578E+2,2.08395E+1
2.38311E+2,1.97531E+1
2.53595E+2,1.88642E+1
