"QE(wavelength), created by Plot Digitizer, 2.4.1"
"Date: 6/8/11, 12:11:23 AM"


14
wavelength,QE
1.60582E+2,1.25432E+1
1.64803E+2,2.19259E+1
1.70044E+2,3.10123E+1
1.74993E+2,3.45679E+1
1.82271E+2,3.34815E+1
1.87802E+2,3.24938E+1
1.93624E+2,2.96296E+1
1.99884E+2,2.66667E+1
2.06725E+2,2.42963E+1
2.13857E+2,2.24198E+1
2.21426E+2,2.10370E+1
2.29578E+2,1.96543E+1
2.38457E+2,1.87654E+1
2.53741E+2,1.80741E+1
